Station name ,Climate ID,Province/Territory/State,Latitude,Longitude
ABBEY,4020020,SK,50.7,-108.7833
ABBOTSFORD A,1100030,BC,49.0253,-122.36
ACADIA FOREST EXP ST,8100100,NB,45.9903,-66.3633
ADDENBROKE ISLAND,1060080,BC,51.6035,-127.8639
AGASSIZ CDA,1100120,BC,49.2431,-121.7603
ALBERNI ROBERTSON CREEK,1030230,BC,49.3372,-124.982
ALBERTON,8300080,PE,46.85,-64.0167
ALLISTON NELSON,6110218,ON,44.1514,-79.8722
ALMA,8100200,NB,45.6,-64.95
ALONSA,5040037,MB,50.8333,-99.05
ALTONA,5020040,MB,49.1,-97.55
AMULET,4010150,SK,49.6167,-104.7333
ANDREW,3010234,AB,54.0167,-112.2333
ANGERS,7030170,QC,45.55,-75.55
ARBORG,5030080,MB,50.9333,-97.0833
AROOSTOOK,8100300,NB,46.7122,-67.7156
ATHABASCA 2,3060321,AB,54.8217,-113.5397
ATLIN,1200560,BC,59.5667,-133.7
ATWATER,4010310,SK,50.8167,-102.2167
AVONMORE,6100398,ON,45.17,-74.9708
AYLSHAM,4070365,SK,53.2,-103.8
BABINE LAKE PINKUT CREEK,1070573,BC,54.4464,-125.4597
BAGOTVILLE A,7060400,QC,48.3333,-71
BAKER LAKE A,2300500,NU,64.2989,-96.0778
BALCARRES,4010395,SK,50.7833,-103.6167
BALDUR,5010140,MB,49.2764,-99.2924
BANGOR,8300128,PE,46.35,-62.6833
BARKERVILLE,1090660,BC,53.0692,-121.5147
BARRIE WPCC,6110557,ON,44.3758,-79.6897
BARWICK,6020559,ON,48.6333,-93.9667
BAY D'ESPOIR GEN STN,8400413,NL,47.9833,-55.8
BEAR RIVER,8200500,NS,44.5667,-65.6333
BEATRICE 2,6110606,ON,45.1333,-79.4
BEAUSEJOUR,7020567,QC,46.6667,-71.1667
BEAVER,5040166,MB,50.05,-98.7
BEAVER CREEK A,2100160,YT,62.4103,-140.8675
BEAVER MINES,3050600,AB,49.4672,-114.177
BEAVERDELL NORTH,1130771,BC,49.4783,-119.047
BEECHY,4020560,SK,50.832,-107.3114
BELLA COOLA,1060840,BC,52.3706,-126.685
BELLA COOLA A,1060841,BC,52.3875,-126.5958
BELLEVILLE,6150689,ON,44.1506,-77.3947
BIGGAR,4040600,SK,52.0667,-107.9833
BIGHORN DAM,30506GN,AB,52.3167,-116.3333
BINSCARTH,5010216,MB,50.5833,-101.2667
BLUE RIVER A,1160899,BC,52.129,-119.2895
BLYTH,6120819,ON,43.7183,-81.3836
BOAT BLUFF,1060901,BC,52.6431,-128.5239
BOAT HARBOUR,8400578,NL,47.4306,-54.8428
BON ACCORD,8100566,NB,46.6508,-67.5845
BONILLA ISLAND,1060902,BC,53.4928,-130.6377
BONSECOURS,7020828,QC,45.4,-72.2667
BOWMANVILLE MOSTERT,6150830,ON,43.9167,-78.6667
BRANDON A,5010480,MB,49.91,-99.9519
BRANDON CDA,5010485,MB,49.8667,-99.9833
BRANTFORD MOE,6140954,ON,43.1333,-80.2333
BRIDGE LAKE 2,1160986,BC,51.5038,-120.7935
BRIDGEWATER,8200600,NS,44.4,-64.55
BRIGHTVIEW,3010830,AB,52.9833,-113.7167
BROCKVILLE PCC,6100971,ON,44.6,-75.6667
BROME,7020840,QC,45.1833,-72.5667
BROMPTONVILLE,7020860,QC,45.4833,-71.95
BROOKS NORTH,3030862,AB,50.6167,-111.8833
BROWNFIELD,3010890,AB,52.3192,-111.4695
BUCHANS,8400698,NL,48.8167,-56.8667
BUFFALO NARROWS A,4060982,SK,55.8333,-108.4333
BURKETON MCLAUGHLIN,6151042,ON,44.0333,-78.8
BURNABY CAPITOL HILL,1101146,BC,49.2861,-122.9867
BURNABY SIMON FRASER U,1101158,BC,49.2784,-122.918
BURWASH A,2100182,YT,61.3667,-139.05
BUTTE ST PIERRE,4041000,SK,53.45,-109.2
CALGARY INT'L A,3031093,AB,51.1139,-114.0203
CALLING LAKE RS,3061117,AB,55.25,-113.1833
CALMAR,3011120,AB,53.2897,-113.8631
CAMBRIDGE BAY A,2400600,NU,69.1081,-105.1383
CAMPBELL RIVER A,1021261,BC,49.9519,-125.2731
CAMPBELL RIVER SURFSIDE,1021266,BC,49.945,-125.2075
CAMPSIE,3061200,AB,54.1322,-114.6778
CAMROSE,3011240,AB,53.05,-112.8167
CAP DES ROSIERS,7051055,QC,48.85,-64.2
CAPE BEALE LIGHT,1031316,BC,48.7861,-125.2161
CAPE MUDGE,1021330,BC,49.9985,-125.1955
CAPE SCOTT,1031353,BC,50.7822,-128.4272
CARDSTON,3031320,AB,49.1317,-113.242
CARIBOO LODGE,1171393,BC,52.7195,-119.4717
CARMANAH POINT,1031402,BC,48.6117,-124.7514
CARMANGAY VILLAGE,3031348,AB,50.1244,-113.1117
CARNDUFF,4011250,SK,49.2167,-101.75
CARTWRIGHT,8501100,NL,53.7083,-57.035
CARWAY,3031400,AB,48.9997,-113.3761
CASTLEGAR A,1141455,BC,49.2964,-117.6325
CASTLEGAR BCHPA DAM,1141457,BC,49.3434,-117.7742
CENTRAL SAANICH ISL VIEW,10114F6,BC,48.5733,-123.3921
CHAILEY,3011474,AB,53.55,-111.25
CHALK RIVER AECL,6101335,ON,46.05,-77.3667
CHAPLEAU A,6061361,ON,47.82,-83.3467
CHARLO A,8100880,NB,47.9833,-66.3333
CHARLOTTETOWN A,8300300,PE,46.2886,-63.1286
CHATHAM POINT,1021480,BC,50.3332,-125.4456
CHATHAM WPCP,6131415,ON,42.39,-82.2153
CHATSWORTH,6111467,ON,44.395,-80.9056
CHETWYND A,1181508,BC,55.6872,-121.6267
CHURCHILL A,5060600,MB,58.7392,-94.0664
CLARESHOLM MEADOW CREEK,3031F5F,AB,49.9375,-113.7375
CLARESHOLM WATERWORKS,3031658,AB,50.0189,-113.7106
CLAYDON,4031581,SK,49.1333,-109.1
CLEARDALE,307JF5R,AB,56.3333,-119.4833
CLYDE A,2400800,NU,70.4861,-68.5167
COATICOOK,7021840,QC,45.15,-71.8
COBOURG STP,6151689,ON,43.9667,-78.1833
CODERRE,4021600,SK,50.1333,-106.3667
COLD LAKE A,3081680,AB,54.4167,-110.2833
COLLEGEVILLE,8201000,NS,45.4833,-62.0167
COMBERMERE,6101820,ON,45.3667,-77.6167
COMOX A,1021830,BC,49.7167,-124.9
CONISTON STP,6061850,ON,46.4833,-80.85
CONNELLY CREEK,3031805,AB,49.6161,-114.215
COOKSTOWN,6111859,ON,44.2067,-79.6947
COOMBS,1021850,BC,49.3058,-124.4292
CORMACK,8401286,NL,49.3167,-57.4
CORNER BROOK,8401300,NL,48.95,-57.95
CORNWALL,6101874,ON,45.0156,-74.7489
CORONACH,4031844,SK,49.1167,-105.5167
COTE,4011846,SK,51.5167,-101.7833
COW HEAD,8401335,NL,49.9117,-57.7889
COWAN,5040FJ3,MB,52.0333,-100.65
COWICHAN LAKE FORESTRY,1012040,BC,48.8244,-124.1333
COWLEY OLIN CREEK,3031926,AB,49.7,-114.0667
CRAIGMYLE,3021940,AB,51.7667,-112.2833
CRANBROOK A,1152102,BC,49.6122,-115.7819
CRESSY,61519JM,ON,44.1,-76.85
CRESTON,1142160,BC,49.0971,-116.5178
CRESTON WPCC,1142164,BC,49.0956,-116.5294
CROSS LAKE,3.06E+04,AB,54.6328,-113.9136
CULLODEN EASEY,6141933,ON,42.8895,-80.8467
CUPAR,4011980,SK,50.85,-104.2667
CYPRESS HILLS,4021996,SK,49.6667,-109.4667
CYPRESS RIVER,5010640,MB,49.55,-99.0833
DAKOTA WEST,3011953,AB,52.75,-113.95
DALHOUSIE MILLS,6101958,ON,45.3167,-74.4667
DARFIELD,1162265,BC,51.2918,-120.1825
DAWSON A,2100402,YT,64.0431,-139.1278
DAWSON CREEK A,1182285,BC,55.7417,-120.1819
DEASE LAKE,1192340,BC,58.4283,-130.0106
DEER LAKE,8401500,NL,49.1667,-57.4333
DEER LAKE A,8401501,NL,49.2167,-57.4
DELTA MARSH CS,5040764,MB,50.1826,-98.3822
DEMING,8201410,NS,45.2164,-61.1778
DESCHAMBAULT,7011982,QC,46.6667,-71.9167
DOAKTOWN,8101200,NB,46.5525,-66.1403
DORSET MOE,6112072,ON,45.2167,-78.9333
DRUMHELLER ANDREW,3022136,AB,51.4667,-112.8667
DRUMMOND CENTRE,6102J13,ON,45.0322,-76.2528
DRUMMONDVILLE,7022160,QC,45.8833,-72.4833
DRURY CREEK,2100460,YT,62.2019,-134.39
DRYAD POINT,1062544,BC,52.185,-128.1122
DRYDEN A,6032119,ON,49.8333,-92.75
DUNCAN LAKE DAM,1142574,BC,50.2387,-116.9715
DUNCHURCH,6112133,ON,45.6167,-79.8833
DURHAM,6112171,ON,44.1833,-80.8167
DUVAL,4012300,SK,51.1833,-104.8667
DWIGHT,6082178,ON,45.3833,-78.9
EARLTON A,6072225,ON,47.7,-79.85
EASTLEIGH,4022328,SK,50.2833,-106.1833
ECKVILLE SOUTH,3022159,AB,52.2847,-114.3908
EDMONTON CITY CENTRE A,3012208,AB,53.5733,-113.5183
EDMONTON INT'L A,3012205,AB,53.3167,-113.5833
EDMONTON STONY PLAIN,301222F,AB,53.5475,-114.1084
EDMONTON WOODBEND,3012230,AB,53.4167,-113.75
EGG ISLAND,1062646,BC,51.2472,-127.8354
ELMWORTH CDA EPF,3072322,AB,55.1,-119.75
ELNORA,3022325,AB,51.9639,-113.1947
ELROSE,4022368,SK,51.1333,-108.0333
EMO RADBOURNE,602K300,ON,48.6833,-93.8333
EMPRESS,3022400,AB,50.9558,-110.0061
ESK,4012381,SK,51.8,-104.85
ESTEVAN A,4012400,SK,49.2167,-102.9667
ESTEVAN POINT,1032730,BC,49.3833,-126.5431
EUREKA A,2401200,NU,79.9833,-85.9333
EUREKA RIVER,3072475,AB,56.4833,-118.7333
EXETER,6122370,ON,43.35,-81.5
EXPLOITS DAM,8401550,NL,48.7667,-56.6
FABYAN,3012515,AB,52.9667,-111
FARMINGTON,8201766,NS,44.6333,-64.6667
FARNHAM,7022320,QC,45.3,-72.9
FARO A,2100517,YT,62.2069,-133.3733
FAUQUIER,1142820,BC,49.8719,-118.0675
FENWOOD,4012483,SK,51.15,-103.0667
FERGUS SHAND DAM,6142400,ON,43.7347,-80.3303
FERNIE,1152850,BC,49.4887,-115.0733
FERTILE,4012485,SK,49.3395,-101.4481
FLEURY,7022375,QC,45.8,-73
FLIN FLON,5050920,MB,54.7667,-101.8833
FLIN FLON A,5050960,MB,54.6833,-101.6833
FLINT,6042MJ7,ON,48.35,-89.6833
FOLDENS,6142420,ON,43.0184,-80.7808
FORDING RIVER COMINCO,1152899,BC,50.1486,-114.855
FOREMOST,3032640,AB,49.477,-111.4464
FORESTBURG PLANT SITE,3012652,AB,52.4675,-112.1203
FORT CHIPEWYAN A,3072658,AB,58.7667,-111.1167
FORT ERIE,6132470,ON,42.8833,-78.9667
FORT FRANCES A,6022476,ON,48.65,-93.4333
FORT LIARD A,2201575,NT,60.235,-123.4669
FORT MCMURRAY A,3062693,AB,56.65,-111.2167
FORT NELSON A,1192940,BC,58.8364,-122.5972
FORT SASKATCHEWAN,3012710,AB,53.7167,-113.1833
FORT SIMPSON A,2202101,NT,61.7603,-121.2367
FORT SMITH A,2202200,NT,60.0203,-111.9619
FORT ST JAMES,1092970,BC,54.4553,-124.2856
FORT ST JOHN A,1183000,BC,56.2381,-120.7403
FORTIERVILLE,7022494,QC,46.4833,-72.05
FRASER LAKE NORTH SHORE,109C0LF,BC,54.0783,-124.8472
FREDERICTON A,8101500,NB,45.8721,-66.5279
FRONTIER,4032766,SK,49.2,-108.5667
GABRIOLA ISLAND,1023042,BC,49.1539,-123.7336
GAGETOWN 2,8101800,NB,45.7833,-66.15
GAMBIER HARBOUR,1043048,BC,49.4431,-123.4325
GANDER INT'L A,8401700,NL,48.9464,-54.5769
GASPE A,7052605,QC,48.7769,-64.4781
GEORGETOWN WWTP,6152695,ON,43.64,-79.8792
GERALDTON A,6042716,ON,49.7828,-86.9306
GERMANSEN LANDING,1183090,BC,55.7855,-124.7014
GIBSONS GOWER POINT,1043152,BC,49.3856,-123.5414
GILBERT PLAINS,5040985,MB,51.1,-100.4667
GILLAM A,5061001,MB,56.3575,-94.7106
GLACIER NP MT FIDELITY,117CA90,BC,51.2382,-117.7015
GLACIER NP ROGERS PASS,1173191,BC,51.3017,-117.5167
GLEICHEN,3032800,AB,50.8833,-113.05
GLEN ALLAN,6142803,ON,43.6839,-80.7103
GLENLEA,5021054,MB,49.65,-97.1167
GOLD RIVER TOWNSITE,1033232,BC,49.7789,-126.055
GOLDEN A,1173210,BC,51.2992,-116.9822
GOLDEN PRAIRIE,4022936,SK,50.1833,-109.8
GOLDSTREAM RIVER,1173242,BC,51.6297,-118.4247
GOOSE A,8501900,NL,53.3167,-60.4167
GRANBY,7022800,QC,45.3833,-72.7167
GRAND FORKS,1133270,BC,49.0262,-118.4657
GRAND RAPIDS HYDRO,5031111,MB,53.1581,-99.2833
GRANDE ANSE,7072816,QC,47.1,-72.9333
GRANDE PRAIRIE A,3072920,AB,55.1797,-118.885
GRANDES BERGERONNES,7042840,QC,48.25,-69.5167
GREEN ISLAND,1063298,BC,54.5686,-130.7081
GREEN RIDGE,5021205,MB,49.1667,-96.9833
GREENWOOD A,8202000,NS,44.9833,-64.9167
GROSSE ISLE,5021225,MB,50.05,-97.4333
GROVEDALE RS,3072970,AB,55.0167,-118.8
GWYNNE,3012990,AB,52.95,-113.1833
HALIFAX CITADEL,8202220,NS,44.65,-63.5833
HALIFAX STANFIELD INT'L A,8202250,NS,44.88,-63.5
HALL BEACH A,2402350,NU,68.7758,-81.2425
HAMILTON A,6153194,ON,43.1717,-79.9342
HANDSWORTH,4013098,SK,49.8333,-102.8667
HANEY EAST,1103326,BC,49.2044,-122.5583
HANEY UBC RF ADMIN,1103332,BC,49.2645,-122.5732
HANOVER,6113329,ON,44.1164,-81.0058
HARBOUR BRETON,8402071,NL,47.4667,-55.8333
HARCOURT,8102151,NB,46.5,-65.2667
HARTINGTON IHD,6103367,ON,44.4281,-76.6903
HAY RIVER A,2202400,NT,60.8397,-115.7828
HEDLEY,1123360,BC,49.3572,-120.0767
HEMMINGFORD FOUR WINDS,7023075,QC,45.0667,-73.7167
HIGH LEVEL A,3073146,AB,58.6214,-117.1647
HIGH RIVER,3033240,AB,50.4833,-114.1667
HIGHLAND VALLEY LORNEX,1123469,BC,50.4667,-121.0167
HILLMOND,4043246,SK,53.4422,-109.7233
HIXON,1093474,BC,53.5314,-122.6994
HODGSON 2,5031301,MB,51.1861,-97.4651
HOLDEN SOUTH,3013C44,AB,53.0833,-112.2667
HOPE SLIDE,1113581,BC,49.2667,-121.2333
HUXLEY,3023422,AB,51.9106,-113.4331
IBERVILLE,7023270,QC,45.3333,-73.25
IDDESLEIGH,3023430,AB,50.7397,-111.3209
ILDERTON BEAR CREEK,6143722,ON,43.05,-81.4333
INDIAN BAY,5031320,MB,49.6239,-95.1972
INDIAN HEAD CDA,4013480,SK,50.55,-103.65
ISLAND FALLS,4063560,SK,55.5333,-102.35
ISLAND LAKE A,5061376,MB,53.85,-94.65
ISLE AUX MORTS,8402450,NL,47.5833,-58.9667
JANETVILLE,6153853,ON,44.2167,-78.6333
JASPER EAST GATE,3063523,AB,53.2333,-117.8167
JOE RICH CREEK,1123750,BC,49.8572,-119.1261
JOLIETTE VILLE,7013362,QC,46.0167,-73.4333
JUNIPER,8102275,NB,46.55,-67.1667
KAMLOOPS A,1163780,BC,50.7022,-120.4419
KANANASKIS,3053600,AB,51.0275,-115.0347
KANANASKIS POCATERRA,3053604,AB,50.7125,-115.12
KAPUSKASING A,6073975,ON,49.4139,-82.4675
KAPUSKASING CDA,6073960,ON,49.4,-82.4333
KASLO,1143900,BC,49.9127,-116.9206
KAYBOB 3,3063620,AB,54.1139,-116.6311
KEG RIVER RS,3073641,AB,57.75,-117.6167
KELLIHER,4013660,SK,51.2574,-103.753
KELOWNA A,1123970,BC,49.9561,-119.3778
KELOWNA PC BURNETTS NURSERY,1123992,BC,49.8742,-119.4835
KEMANO,1064020,BC,53.5631,-127.9428
KENORA A,6034075,ON,49.7903,-94.3653
KERROBERT,4043750,SK,51.9717,-109.0481
KEY LAKE,4063755,SK,57.25,-105.6167
KINDERSLEY A,4043900,SK,51.5167,-109.1833
KING SMOKE TREE,6154142,ON,44.0167,-79.5167
KINGSTON PUMPING STATION,6104175,ON,44.2439,-76.4806
KINGSVILLE MOE,6134190,ON,42.0431,-82.6739
KIPLING,4014040,SK,50.2,-102.7333
KITIMAT 2,1064321,BC,54.0097,-128.705
KITIMAT TOWNSITE,1064320,BC,54.0536,-128.6342
KLEENA KLEENE 2,1084351,BC,51.9778,-124.9903
KOOTENAY NP WEST GATE,1154410,BC,50.6308,-116.0614
KUGAARUK A,2303092,NU,68.5406,-89.7972
KUGLUKTUK A,2300902,NU,67.8167,-115.1439
KUUJJUAQ A,7113534,QC,58.1,-68.4167
KUUJJUARAPIK A,7103536,QC,55.2833,-77.75
LA GRANDE RIVIERE A,7093715,QC,53.6333,-77.7
LA RONGE A,4064150,SK,55.15,-105.2667
LAC BERRY,709CEE9,QC,48.8,-78.2833
LAC BOUCHETTE,7063560,QC,48.2167,-72.1667
LAC HUMQUI,7053649,QC,48.2833,-67.5667
LAC STE CROIX,7063690,QC,48.4167,-71.75
LACHUTE,7033650,QC,45.65,-74.3333
LANGARA,1054500,BC,54.2552,-133.058
LANGENBURG,4014145,SK,50.9,-101.7167
LANGRUTH,5041530,MB,50.4,-98.55
LAST MOUNTAIN CS,4014156,SK,51.4167,-105.25
LAURIERVILLE,7024250,QC,46.3333,-71.6667
LAUZON,7024254,QC,46.8167,-71.1
LAVOY,3013770,AB,53.5333,-111.8667
LENNARD ISLAND,1034600,BC,49.1106,-125.9233
LEROY,4014322,SK,52,-104.6333
LETHBRIDGE,8402544,NL,48.35,-53.9017
LETHBRIDGE A,3033880,AB,49.6303,-112.7997
LINDSAY FROST,6164433,ON,44.3384,-78.7403
LIPTON,4014480,SK,50.85,-103.7667
LIVERPOOL BIG FALLS,8203100,NS,44.1333,-64.9333
LLOYDMINSTER A,3013961,AB,53.3092,-110.0725
LOIS RIVER DAM,1044710,BC,49.7953,-124.3181
LONDON INT'L AIRPORT,6144475,ON,43.0331,-81.1511
LONG RIVER,8300500,PE,46.5,-63.55
LOON LAKE CDA EPF,4064600,SK,54.05,-109.1
LOUISBOURG,8203161,NS,45.9,-60
LUNCH LAKE,1084731,BC,51.8244,-124.4665
LUPIN A,23026HN,NU,65.7592,-111.25
LUSKVILLE,7034365,QC,45.5333,-76.05
LYNDHURST SHAWMERE,6104725,ON,44.5167,-76.0833
LYNN LAKE A,5061646,MB,56.8639,-101.0761
LYONS BROOK,8203230,NS,45.6583,-62.7967
MACDONALD,5041670,MB,50.1667,-98.5
MACOUN,4014870,SK,49.2333,-103.2333
MADDEN,3024150,AB,51.5042,-114.3239
MAGOG,7024440,QC,45.2667,-72.1167
MAIN BROOK,840KE88,NL,51.1833,-56.0167
MALIBU JERVIS INLET,1044840,BC,50.165,-123.8536
MANITOU STRANGE,5021687,MB,49.25,-98.5167
MANKOTA,4034910,SK,49.0992,-107.0245
MAPLE CREEK NORTH,4024936,SK,50,-109.4667
MAPLETON,8102566,NB,46.1833,-67.2333
MARGO,4015020,SK,51.8333,-103.3333
MARIEVILLE,7024627,QC,45.4,-73.1333
MARKERVILLE,3024210,AB,52.1167,-114.1333
MARQUETTE,5021695,MB,50.0134,-97.8071
MARYFIELD,4015045,SK,49.8333,-101.5167
MARYSVILLE,1154909,BC,49.6371,-115.9571
MASINASIN,3044230,AB,49.1267,-111.6542
MASSEY,6065006,ON,46.1931,-82.0247
MAYO A,2100700,YT,63.6167,-135.8667
